Images,chosen,rejected
"['kitchen1/0/Action_0375_0_normal.png', 'kitchen1/0/Action_0388_0_normal.png', 'kitchen1/0/Action_0400_0_normal.png', 'kitchen1/0/Action_0413_0_normal.png', 'kitchen1/0/Action_0425_0_normal.png', 'kitchen1/0/Action_0438_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, stand , sink), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0388_0_normal.png', 'kitchen1/0/Action_0400_0_normal.png', 'kitchen1/0/Action_0413_0_normal.png', 'kitchen1/0/Action_0425_0_normal.png', 'kitchen1/0/Action_0438_0_normal.png', 'kitchen1/0/Action_0450_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0400_0_normal.png', 'kitchen1/0/Action_0413_0_normal.png', 'kitchen1/0/Action_0425_0_normal.png', 'kitchen1/0/Action_0438_0_normal.png', 'kitchen1/0/Action_0450_0_normal.png', 'kitchen1/0/Action_0463_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0413_0_normal.png', 'kitchen1/0/Action_0425_0_normal.png', 'kitchen1/0/Action_0438_0_normal.png', 'kitchen1/0/Action_0450_0_normal.png', 'kitchen1/0/Action_0463_0_normal.png', 'kitchen1/0/Action_0475_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, walk , stove) (male1, walk , sink)"
"['kitchen1/0/Action_0425_0_normal.png', 'kitchen1/0/Action_0438_0_normal.png', 'kitchen1/0/Action_0450_0_normal.png', 'kitchen1/0/Action_0463_0_normal.png', 'kitchen1/0/Action_0475_0_normal.png', 'kitchen1/0/Action_0488_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0438_0_normal.png', 'kitchen1/0/Action_0450_0_normal.png', 'kitchen1/0/Action_0463_0_normal.png', 'kitchen1/0/Action_0475_0_normal.png', 'kitchen1/0/Action_0488_0_normal.png', 'kitchen1/0/Action_0500_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, sink)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0450_0_normal.png', 'kitchen1/0/Action_0463_0_normal.png', 'kitchen1/0/Action_0475_0_normal.png', 'kitchen1/0/Action_0488_0_normal.png', 'kitchen1/0/Action_0500_0_normal.png', 'kitchen1/0/Action_0513_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, sink)', '(female1, walk, kitchentable) (male1, stand, sink)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0463_0_normal.png', 'kitchen1/0/Action_0475_0_normal.png', 'kitchen1/0/Action_0488_0_normal.png', 'kitchen1/0/Action_0500_0_normal.png', 'kitchen1/0/Action_0513_0_normal.png', 'kitchen1/0/Action_0525_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, sink)', '(female1, walk, kitchentable) (male1, stand, sink)', '(female1, putback, milkshake, kitchentable) (male1, stand, sink)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0475_0_normal.png', 'kitchen1/0/Action_0488_0_normal.png', 'kitchen1/0/Action_0500_0_normal.png', 'kitchen1/0/Action_0513_0_normal.png', 'kitchen1/0/Action_0525_0_normal.png', 'kitchen1/0/Action_0538_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, sink)', '(female1, walk, kitchentable) (male1, stand, sink)', '(female1, putback, milkshake, kitchentable) (male1, stand, sink)', '(female1, stand, kitchentable) (male1, stand, sink)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0488_0_normal.png', 'kitchen1/0/Action_0500_0_normal.png', 'kitchen1/0/Action_0513_0_normal.png', 'kitchen1/0/Action_0525_0_normal.png', 'kitchen1/0/Action_0538_0_normal.png', 'kitchen1/0/Action_0550_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, kitchencounter)', '(female1, walk, kitchentable) (male1, walk, sink)', '(female1, walk, kitchentable) (male1, stand, sink)', '(female1, putback, milkshake, kitchentable) (male1, stand, sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, grab, milk) (male1, stand , sink)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0500_0_normal.png', 'kitchen1/0/Action_0513_0_normal.png', 'kitchen1/0/Action_0525_0_normal.png', 'kitchen1/0/Action_0538_0_normal.png', 'kitchen1/0/Action_0550_0_normal.png', 'kitchen1/0/Action_0563_0_normal.png']","['(female1, walk, kitchentable) (male1, walk, sink)', '(female1, walk, kitchentable) (male1, stand, sink)', '(female1, putback, milkshake, kitchentable) (male1, stand, sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, grab, milk) (male1, stand , sink)', '(female1, stand, kitchentable) (male1, stand, sink)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, stand , sink), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0513_0_normal.png', 'kitchen1/0/Action_0525_0_normal.png', 'kitchen1/0/Action_0538_0_normal.png', 'kitchen1/0/Action_0550_0_normal.png', 'kitchen1/0/Action_0563_0_normal.png', 'kitchen1/0/Action_0575_0_normal.png']","['(female1, walk, kitchentable) (male1, stand, sink)', '(female1, putback, milkshake, kitchentable) (male1, stand, sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, grab, milk) (male1, stand , sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, walk, kitchencounter) (male1, stand, sink)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0525_0_normal.png', 'kitchen1/0/Action_0538_0_normal.png', 'kitchen1/0/Action_0550_0_normal.png', 'kitchen1/0/Action_0563_0_normal.png', 'kitchen1/0/Action_0575_0_normal.png', 'kitchen1/0/Action_0588_0_normal.png']","['(female1, putback, milkshake, kitchentable) (male1, stand, sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, grab, milk) (male1, stand , sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, walk, kitchencounter) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, switchon, faucet)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, stand , sink), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0538_0_normal.png', 'kitchen1/0/Action_0550_0_normal.png', 'kitchen1/0/Action_0563_0_normal.png', 'kitchen1/0/Action_0575_0_normal.png', 'kitchen1/0/Action_0588_0_normal.png', 'kitchen1/0/Action_0600_0_normal.png']","['(female1, stand, kitchentable) (male1, stand, sink)', '(female1, grab, milk) (male1, stand , sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, walk, kitchencounter) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, switchon, faucet)', '(female1, walk, refridgerator) (male1, stand, sink)']","(female1, stand , stove) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, walk , stove) (male1, walk , sink)"
"['kitchen1/0/Action_0550_0_normal.png', 'kitchen1/0/Action_0563_0_normal.png', 'kitchen1/0/Action_0575_0_normal.png', 'kitchen1/0/Action_0588_0_normal.png', 'kitchen1/0/Action_0600_0_normal.png', 'kitchen1/0/Action_0613_0_normal.png']","['(female1, grab, milk) (male1, stand , sink)', '(female1, stand, kitchentable) (male1, stand, sink)', '(female1, walk, kitchencounter) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, switchon, faucet)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, stand, sink)']","(female1, stand , stove) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, walk , stove) (male1, walk , sink)"
"['kitchen1/0/Action_0563_0_normal.png', 'kitchen1/0/Action_0575_0_normal.png', 'kitchen1/0/Action_0588_0_normal.png', 'kitchen1/0/Action_0600_0_normal.png', 'kitchen1/0/Action_0613_0_normal.png', 'kitchen1/0/Action_0625_0_normal.png']","['(female1, stand, kitchentable) (male1, stand, sink)', '(female1, walk, kitchencounter) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, switchon, faucet)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, stand, sink)']","(female1, stand , stove) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, walk , stove) (male1, walk , sink)"
"['kitchen1/0/Action_0575_0_normal.png', 'kitchen1/0/Action_0588_0_normal.png', 'kitchen1/0/Action_0600_0_normal.png', 'kitchen1/0/Action_0613_0_normal.png', 'kitchen1/0/Action_0625_0_normal.png', 'kitchen1/0/Action_0638_0_normal.png']","['(female1, walk, kitchencounter) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, switchon, faucet)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, switchoff, faucet)']","(female1, stand , stove) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, walk , microwave) (male1, walk , kitchentable), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, grab , salmon) (male1, walk , kitchencounter), (female1, walk , stove) (male1, walk , sink)"
"['kitchen1/0/Action_0588_0_normal.png', 'kitchen1/0/Action_0600_0_normal.png', 'kitchen1/0/Action_0613_0_normal.png', 'kitchen1/0/Action_0625_0_normal.png', 'kitchen1/0/Action_0638_0_normal.png', 'kitchen1/0/Action_0650_0_normal.png']","['(female1, walk, refridgerator) (male1, switchon, faucet)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, switchoff, faucet)', '(female1, open, refridgerator) (male1, stand, sink)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0600_0_normal.png', 'kitchen1/0/Action_0613_0_normal.png', 'kitchen1/0/Action_0625_0_normal.png', 'kitchen1/0/Action_0638_0_normal.png', 'kitchen1/0/Action_0650_0_normal.png', 'kitchen1/0/Action_0663_0_normal.png']","['(female1, walk, refridgerator) (male1, stand, sink)', '(female1, walk, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, switchoff, faucet)', '(female1, open, refridgerator) (male1, stand, sink)', '(female1, open, refridgerator) (male1, grab, glass)']","(female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, walk , kitchencounter), (female1, walk , microwave) (male1, walk , sink), (female1, walk , microwave) (male1, walk , sink), (female1, grab , salmon) (male1, stand , sink), (female1, grab , salmon) (male1, walk , kitchencounter)"
"['kitchen1/0/Action_0613_0_normal.png', 'kitchen1/0/Action_0625_0_normal.png', 'kitchen1/0/Action_0638_0_normal.png', 'kitchen1/0/Action_0650_0_normal.png', 'kitchen1/0/Action_0663_0_normal.png', 'kitchen1/0/Action_0675_0_normal.png']","['(female1, walk, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, switchoff, faucet)', '(female1, open, refridgerator) (male1, stand, sink)', '(female1, open, refridgerator) (male1, grab, glass)', '(female1, putin, milk, refridgerator) (male1, grab, glass)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0625_0_normal.png', 'kitchen1/0/Action_0638_0_normal.png', 'kitchen1/0/Action_0650_0_normal.png', 'kitchen1/0/Action_0663_0_normal.png', 'kitchen1/0/Action_0675_0_normal.png', 'kitchen1/0/Action_0688_0_normal.png']","['(female1, stand, refridgerator) (male1, stand, sink)', '(female1, stand, refridgerator) (male1, switchoff, faucet)', '(female1, open, refridgerator) (male1, stand, sink)', '(female1, open, refridgerator) (male1, grab, glass)', '(female1, putin, milk, refridgerator) (male1, grab, glass)', '(female1, stand, refridgerator) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0638_0_normal.png', 'kitchen1/0/Action_0650_0_normal.png', 'kitchen1/0/Action_0663_0_normal.png', 'kitchen1/0/Action_0675_0_normal.png', 'kitchen1/0/Action_0688_0_normal.png', 'kitchen1/0/Action_0700_0_normal.png']","['(female1, stand, refridgerator) (male1, switchoff, faucet)', '(female1, open, refridgerator) (male1, stand, sink)', '(female1, open, refridgerator) (male1, grab, glass)', '(female1, putin, milk, refridgerator) (male1, grab, glass)', '(female1, stand, refridgerator) (male1, walk, kitchentable)', '(female1, close, refridgerator) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0650_0_normal.png', 'kitchen1/0/Action_0663_0_normal.png', 'kitchen1/0/Action_0675_0_normal.png', 'kitchen1/0/Action_0688_0_normal.png', 'kitchen1/0/Action_0700_0_normal.png', 'kitchen1/0/Action_0713_0_normal.png']","['(female1, open, refridgerator) (male1, stand, sink)', '(female1, open, refridgerator) (male1, grab, glass)', '(female1, putin, milk, refridgerator) (male1, grab, glass)', '(female1, stand, refridgerator) (male1, walk, kitchentable)', '(female1, close, refridgerator) (male1, walk, kitchentable)', '(female1, close, refridgerator) (male1, walk, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
"['kitchen1/0/Action_0663_0_normal.png', 'kitchen1/0/Action_0675_0_normal.png', 'kitchen1/0/Action_0688_0_normal.png', 'kitchen1/0/Action_0700_0_normal.png', 'kitchen1/0/Action_0713_0_normal.png', 'kitchen1/0/Action_0725_0_normal.png']","['(female1, open, refridgerator) (male1, grab, glass)', '(female1, putin, milk, refridgerator) (male1, grab, glass)', '(female1, stand, refridgerator) (male1, walk, kitchentable)', '(female1, close, refridgerator) (male1, walk, kitchentable)', '(female1, close, refridgerator) (male1, walk, kitchentable)', '(female1, stand, refridgerator) (male1, putback, glass, kitchentable)']","(female1, stand , stove) (male1, grab , cutleryfork), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, put, cutleryfork, kitchencabinet), (female1, stand , stove) (male1, grab , cutleryknife), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet), (female1, stand , stove) (male1, put, cutleryknife, kitchencabinet)"
